'bout	b AW t
klucevsek	k l UW s EH v s EH k
kluck	k l AH k
kludt	k l AH d t
kluender	k l UH n d ER
kluesner	k l UH s n ER
kluever	k l UH v ER
klug	k l AH g
kluge	k l UW JH
kluge's	k l UW JH IH z
kluger	k l UW g ER
klugh	k l AH
klugman	k l AH g m AH n
klugt	k l AH t
klukas	k l UW k AH z
klumb	k l AH m
klump	k l AH m p
klumpp	k l AH m p
klunder	k l AH n d ER
klundt	k l AH n t
klunk	k l AH NG k
klus	k l AH s
klusman	k l AH s m AH n
klute	k l UW t
kluth	k l UW TH
klutts	k l AH t s
kluttz	k l AH t s
klutz	k l AH t s
klutznick	k l AH t s n IH k
kluver	k l UW v ER
kluwer	k l UW w ER
klux	k l AH k s
klym	k l IH m
klynveld	k l IH n v EH l d
kmart	k EY m AA r t
kmart's	k EY m AA r t s
kmetz	k AH m EH t s
kmiec	k AH m IY k
kmiecik	k AH m IY CH IH k
knaack	n AA k
knaak	n AA k
knab	n AE b
knabb	n AE b
knabe	n EY b
knable	n EY b AH l
knack	n AE k
knacks	n AE k s
knackstedt	n AE k s t IH t
knaggs	n AE g z
knape	n EY p
knapik	n AE p IH k
knapke	n EY p k
knapp	n AE p
knapp's	n AE p s
knappenberger	n AE p AH n b ER g ER
knapper	n AE p ER
knapsack	n AE p s AE k
knapton	n AE p t AH n
knarr	n AE r
knaub	n AO b
knauer	n AW ER
knauf	n AO f
knauff	n AO f
knaup	n AO p
knaus	n AO z
knauss	n AO s
knave	n EY v
knaves	n EY v z
knbc	k EY EH n b IY s IY
knead	n IY d
kneading	n IY d IH NG
kneafsey	n IY f s IY
kneale	n IY l
knebel	n EH b AH l
knecht	n EH k t
knechtel	n EH k t AH l
knee	n IY
kneebone	n IY b OW n
kneecap	n IY k AE p
kneecaps	n IY k AE p s
kneece	n IY s
kneed	n IY d
kneeing	n IY IH NG
kneel	n IY l
kneeland	n IY l AH n d
kneeling	n IY l IH NG
kneer	n IH r
knees	n IY z
kneip	n IY p
kneisel	n AY s AH l
kneisley	n IY s l IY
knell	n EH l
kneller	n EH l ER
knelt	n EH l t
knepp	n EH p
knepper	n EH p ER
knerr	n EH r
kness	n EH s
knesset	n EH s AH t
knesset(2)	k n EH s AH t
knesset(3)	k AH n EH s AH t
knew	n UW
knew(2)	n j UW
knezevich	n EH z IH v IH CH
knicely	n AY s l IY
knick	n IH k
knick-knack	n IH k n AE k
knick-knacks	n IH k n AE k s
knicker	n IH k ER
knickerbocker	n IH k ER b AA k ER
knickerbockered	n IH k ER b AA k ER d
knickerbockers	n IH k ER b AA k ER z
knickers	n IH k ER z
knickknack	n IH k n AE k
knickknacks	n IH k n AE k s
knicks	n IH k s
knicks'	n IH k s
knief	n IY f
kniep	n IY p
knieriem	n IY r IY m
knierim	n IH r IH m
knies	n AY z
kniess	n IY s
knievel	k AH n IY v AH l
knievel(2)	n IY v AH l
knife	n AY f
knifed	n AY f t
knifelike	n AY f l AY k
knifepoint	n AY f p OY n t
kniffen	n IH f AH n
kniffin	n IH f IH n
knifing	n AY f IH NG
knifings	n AY f IH NG z
knigge	n IH g
knight	n AY t
knight's	n AY t s
knighted	n AY t IH d
knighten	n AY t AH n
knighthood	n AY t h UH d
knightly	n AY t l IY
knighton	n AY t AH n
knights	n AY t s
knill	n IH l
knin	k EY EH n AY EH n
knin(2)	k n IH n
knin(3)	n IH n
knipe	n AY p
knipfer	n IH p f ER
knipl	n IH p AH l
knipp	n IH p
knippa	n IH p AH
knippel	n IH p AH l
knippenberg	n IH p AH n b ER g
knipper	n IH p ER
knipple	n IH p AH l
knisely	n AY z l IY
kniskern	n IH s k ER n
knisley	n IH s l IY
knispel	n IH s p AH l
kniss	n IH s
knit	n IH t
knits	n IH t s
knitted	n IH t AH d
knitted(2)	n IH t IH d
knittel	n IH t AH l
knitter	n IH t ER
knitting	n IH t IH NG
knittle	n IH t AH l
knitwear	n IH t w EH r
knives	n AY v z
kniveton	n AY v t AH n
knob	n AA b
knobbe	n AA b
knobby	n AA b IY
knobel	n OW b AH l
knoblauch	n AA b l AW k
knoble	n OW b AH l
knobloch	n AA b l AH k
knoblock	n AA b l AA k
knobs	n AA b z
knoch	n AA k
knoche	n AA CH
knochel	n AA k AH l
knock	n AA k
knockdown	n AA k d AW n
knocked	n AA k t
knocking	n AA k IH NG
knockoff	n AA k AO f
knockoffs	n AA k AO f s
knockout	n AA k AW t
knockouts	n AA k AW t s
knocks	n AA k s
knode	n OW d
knodel	n OW d AH l
knodle	n OW d AH l
knoebel	n OW b AH l
knoedler	n OW d AH l ER
knoedler(2)	n OW d l ER
knoell	n OW l
knoff	n AO f
knogo	n OW g OW
knoke	n OW k
knoles	n OW l z
knoll	n OW l
knoll's	n OW l z
knoop	n UW p
knop	n AA p
knope	n OW p
knopf	n AA p f
knopf(2)	n AA f
knopp	n AA p
knorr	n AO r
knost	n AA s t
knot	n AA t
knotek	n OW t IH k
knoth	n AA TH
knots	n AA t s
knott	n AA t
knott's	n AA t s
knotted	n AA t IH d
knotts	n AA t s
knotty	n AA t IY
knouff	n OW f
knous	n AO s
knouse	n AW s
know	n OW
know-how	n OW h AW
knowed	n OW d
knower	n OW ER
knowing	n OW IH NG
knowingly	n OW IH NG l IY
knowledge	n AA l AH JH
knowledge(2)	n AA l IH JH
knowledgeable	n AA l AH JH AH b AH l
knowledgeably	n AA l IH JH AH b l IY
knowledgeware	n AA l IH JH w EH r
knowles	n OW l z
knowlton	n OW l t AH n
known	n OW n
knowns	n OW n z
knows	n OW z
knox	n AA k s
knox's	n AA k s IH z
knoxville	n AA k s v IH l
knoy	n OY
knuckle	n AH k AH l
knuckled	n AH k AH l d
knuckles	n AH k AH l z
knudsen	k n UW d s AH n
knudsen's	k n UW d s AH n z
knudson	k n UW d s AH n
knudtson	k n UW t s AH n
knueppel	k n UW p AH l
knupp	k n AH p
knust	k n AH s t
knut	k n AH t
knute	k n UW t
knuth	k n UW TH
knuts	k n AH t s
knutsen	n AH t s AH n
knutson	n UW t s AH n
knutzen	n AH t z AH n
ko	k OW
koala	k OW AA l AH
koalas	k OW AA l AH z
koba	k OW b AA
kobacker	k OW b AE k ER
kobak	k OW b AH k
kobayashi	k OW b AA j AA SH IY
kobe	k OW b EY
kobe's	k OW b EY z
kobel	k OW b AH l
kober	k OW b ER
koberstein	k OW b ER s t AY n
koberstein(2)	k OW b ER s t IY n
kobes	k OW b z
koble	k OW b AH l
kobler	k OW b AH l ER
kobler(2)	k OW b l ER
kobren	k AA b r AH n
kobrin	k AA b r IH n
kobrin's	k AA b r IH n z
kobs	k AA b z
kobus	k OW b AH s
koby	k OW b IY
kobylarz	k AH b IH l ER z
kobylinski	k AH b IH l IH n s k IY
kobza	k AA b z AH
kocak	k OW k AH k
koch	k AO CH
koch(2)	k OW k
kochan	k AA k AH n
kochanek	k AA k AH n IH k
kochanowski	k AH h AH n AO f s k IY
kochanski	k AH h AE n s k IY
kochel	k AA k AH l
kochendorfer	k AA k IH n d AO r f ER
kocher	k AO CH ER
kochevar	k AH h EH v ER
kochis	k AA k IH s
kochman	k AA k m AH n
koci	k OW s IY
kocian	k OW SH AH n
kociemba	k OW s IY EH m b AH
kocinski	k AH CH IH n s k IY
kociolek	k OW s IY OW l EH k
kocis	k OW s IH s
kock	k AA k
kocourek	k AH k UH r EH k
kocsis	k AA k s IH s
kocur	k OW k ER
kocur's	k OW k ER z
kocurek	k AH k j UW r EH k
kodacolor	k OW d AH k AH l ER
kodak	k OW d AE k
kodak's	k OW d AE k s
kodama	k OW d AA m AH
kodiak	k OW d IY AE k
kodo	k OW d OW
koebel	k OW b AH l
koedinger	k OW d IH NG ER
koegel	k OW g AH l
koegler	k OW g AH l ER
koegler(2)	k OW g l ER
koehl	k OW l
koehler	k OW l ER
koehn	k OW n
koehne	k OW n
koehnen	k OW n AH n
koeki	k OW k IY
koelle	k OW l
koeller	k OW l ER
koelling	k OW l IH NG
koelsch	k OW l SH
koelzer	k OW l z ER
koen	k OW n
koeneman	k AA IY n m AH n
koenen	k OW n AH n
koenig	k ER n IH g
koenigs	k ER n IH g z
koenigsberg	k OW n IH g z b ER g
koenigsfeld	k OW n IH g z f EH l d
koep	k OW p
koepke	k OW p k
koepp	k OW p
koeppe	k OW p
koeppel	k OW p AH l
koeppen	k OW p AH n
koepsel	k OW p s EH l
koepsell	k OW p s EH l
koerber	k AO r b ER
koerner	k AO r n ER
koernke	k AO r n AH k IY
koester	k AO s t ER
koesters	k AO s t ER z
koestler	k OW s t l ER
koestner	k OW s t n ER
koether	k OW DH ER
koetje	k OW JH AH
koetter	k OW t ER
koetting	k OW t IH NG
koff	k AO f
koffler	k AA f AH l ER
koffler(2)	k AA f l ER
koffman	k AO f m AH n
kofi	k OW f IY
kofler	k OW f AH l ER
kofler(2)	k OW f l ER
kofoed	k OW f OW d
kofron	k AA f r AH n
kofu	k OW f UW
koga	k OW g AH
kogan	k OW g AH n
kogel	k OW g AH l
koger	k OW g ER
kogi	k OW g IY
kogler	k OW g AH l ER
kogler(2)	k OW g l ER
koglin	k AA g l IH n
kogut	k OW g AH t
kogyo	k OW JH j OW
koh	k OW
kohan	k OW h AA n
kohen	k OW AH n
kohl	k OW l
kohl's	k OW l z
kohlbeck	k OW l b EH k
kohlberg	k OW l b ER g
kohlberg's	k OW l b ER g z
kohlenberg	k OW l AH n b ER g
kohler	k OW l ER
kohles	k OW h AH l z
kohlhepp	k OW l h IH p
kohlhoff	k OW l h AO f
kohli	k OW l IY
kohlman	k OW l m AH n
kohlmann	k OW l m AH n
kohlmeier	k OW l m AY ER
kohlmeyer	k OW l m AY ER
kohlrabi	k AO l r AA b IY
kohls	k OW l z
kohn	k AA n
kohne	k OW n
kohnen	k OW n AH n
kohner	k OW n ER
kohnke	k AA NG k
kohout	k OW AW t
kohr	k AO r
kohring	k AO r IH NG
kohrs	k AO r z
kohtaro	k OW t AA r OW
kohtoro	k OW t AO r OW
kohut	k OW AH t
koichi	k OW IY CH IY
koido	k OY d OW
koike	k OY k
koito	k OY t OW
koito(2)	k OY t OW
koito(3)	k OW IY t OW
koivisto	k OY v IH s t OW
kojak	k OW JH AE k
koji	k OW JH IY
kojima	k AH j AY m AH
kok	k AA k
kokan	k OW k AH n
kokan's	k OW k AH n z
kokate	k OW k AA t EY
kokate(2)	k OW k AA t EY
kokate's	k OW k AA t EY z
kokate's(2)	k OW k AA t EY z
koke	k OW k
koken	k OW k AH n
koker	k OW k ER
kokes	k OW k s
kokesh	k AA k IH SH
koki	k OW k IY
kokinda	k AH k IH n d AH
koko	k OW k OW
koko's	k OW k OW z
kokomo	k OW k AH m OW
kokoschka	k AH k AO SH k AH
kokoszka	k AH k AA SH k AH
kokusai	k AA k j UW s AY
kol	k OW l
kolakowski	k AH l AH k AO f s k IY
kolander	k AA l AH n d ER
kolar	k OW l ER
kolarik	k AH l AA r IH k
kolasa	k AH l AA s AH
kolasinski	k AH l AH s IH n s k IY
kolb	k OW l b
kolbe	k OW l b
kolbeck	k AA l b EH k
kolber	k OW l b ER
kolberg	k OW l b ER g
kolbert	k OW l b ER t
kolbo	k OW l b OW
kolden	k OW l d AH n
kole	k OW l
kolek	k OW l EH k
kolenda	k AH l EH n d AH
kolesar	k AH l EH s ER
kolich	k AA l IH h
kolin	k OW l IH n
kolinski	k AH l IH n s k IY
kolk	k OW k
kolka	k OW l k AH
kolker	k OW k ER
koll	k AA l
kollar	k AA l ER
kollasch	k AA l AH SH
kollath	k AA l AH TH
kolle	k AA l
kollek	k AO l EH k
kollek(2)	k OW l EH k
koller	k AA l ER
kolli	k AA l IY
kolling	k AA l IH NG
kollman	k AA l m AH n
kollmann	k AA l m AH n
kollmeyer	k AA l m AY ER
kollmorgen	k OW l m AO r g AH n
kollmorgen(2)	k AO l m AO r g AH n
kolm	k OW m
kolman	k AA l m AH n
kolodny	k AH l AA d n IY
kolodziej	k AH l AA d z IY JH
kolodziejski	k AH l AA JH IY EY s k IY
kolojejchick	k OW l OW JH EY CH IH k
kolokoff	k AA l AH k AO f
koloski	k AH l AW s k IY
kolowich	k AA l AH w IH CH
kolp	k OW l p
kolski	k OW l s k IY
kolsky	k OW l s k IY
kolstad	k OW l s t AH d
kolter	k OW l t ER
kolterman	k OW l t ER m AH n
kolton	k OW l t AH n
kolts	k OW l t s
koltz	k OW l t s
komaba	k OW m AA b AH
komag	k OW m AE g
koman	k OW m AH n
komansky	k OW m AE n s k IY
komar	k OW m ER
komara	k OW m AA r AH
komarek	k OW m AA r EH k
komarik	k OW m AA r IH k
komarik's	k OW m AA r IH k s
komatani	k AO m AH t AA n IY
komatsu	k OW m AA t s UW
kombat	k AA m b AE t
komer	k OW m ER
komercni	k OW m ER CH n IY
komi	k OW m IY
komine	k OW m AY n
komineft	k AA m IH n EH f t
kominek	k AO m AH n EH k
komisar	k AH m IH s ER
komisar(2)	k AA m IH s AA r
kommer	k AA m ER
komodo	k AH m OW d OW
komodo(2)	k OW m OW d OW
komori	k OW m AO r IY
komorny	k OW m AO r n IY
komorowski	k AH m ER AO f s k IY
komoto	k OW m OW t OW
komp	k AA m p
kompanek	k AA m p AA n EH k
komsomol	k AA m s OW m AH l
komsomol's	k AA m s OW m AH l z
komura	k OW m UH r AH
kon	k AA n
kona	k OW n AH
konaga	k AH n AA g AH
konarski	k AH n AA r s k IY
konczal	k AA n CH AH l
kondas	k AA n d AH z
kondo	k AA n d OW
kondracki	k AH n d r AA t s k IY
kondrat	k AA n d r AH t
konecny	k AH n EH k n IY
konen	k AA n AH n
kong	k AO NG
kong(2)	k AO NG g
kong's	k AO NG z
kong's(2)	k AO NG g z
konger	k AA NG g ER
kongers	k AA NG g ER z
kongsberg	k AO NG z b ER g
kongsberg(2)	k AO NG g z b ER g
kongsberg's	k AO NG z b ER g z
kongsberg's(2)	k AO NG g z b ER g z
konica	k AA n IH k AH
konicek	k AA n IH CH EH k
konicki	k AH n IH t s k IY
konieczka	k AH n IY CH k AH
konieczny	k AH n IY CH n IY
konig	k AA n IH g
koning	k OW n IH NG
koninklijke	k AA n IH NG k l IY k IY
konishi	k OW n IY SH IY
konishiroku	k AA n IH SH IH r OW k UW
konitzer	k AA n IH t z ER
konkel	k AA NG k AH l
konkle	k AA NG k AH l
konkol	k AA NG k AO l
konner	k AA n ER
kono	k OW n OW
konold	k AA n OW l d
konop	k OW n AH p
konopka	k AH n OW p k AH
konrad	k AA n r AH d
konrath	k AA n r AH TH
konstantin	k AA n s t IH n t IY n
konsultat	k AA n s AH l t AA t
kontos	k AA n t OW z
kontra	k AA n t r AH
kontras	k AA n t r AH s
kontrollbank	k AA n t r AH l b AE NG k
konwinski	k AH n v IH n s k IY
konz	k AA n z
konzen	k AA n z AH n
konzi	k AA n z IY
konzi's	k AA n z IY z
koo	k UW
koob	k UW b
koogler	k UW g l ER
kooi	k UW IY
kooiker	k UW IH k ER
kooiman	k UW IH m AH n
kooistra	k UW IH z t r AH
kook	k UW k
kooken	k UW k AH n
kooker	k UH k ER
kooks	k UW k s
kooky	k UW k IY
kool	k UW l
koolhaas	k UW l h AA s
koon	k UW n
koon's	k UW n z
koonce	k UW n s
koone	k UW n
koonig	k UW n IH g
kooning	k UW n IH NG
koons	k UW n z
koonts	k UW n t s
koontz	k UW n t s
koop	k UW p
koop's	k UW p s
koopman	k UW p m AH n
koopmann	k UW p m AH n
koops	k UW p s
koor	k UW r
koors	k UH r z
koos	k UW z
kooser	k UW z ER
kootenay	k UW t AH n EY
kooy	k UW IY
kooyman	k AA OY m AH n
kopacz	k AA p AH CH
kopas	k OW p AH z
kopchev	k AA p CH AH v
kopczynski	k AH p CH IH n s k IY
kope	k OW p
kopec	k OW p IH k
kopecky	k AH p EH t s k IY
kopek	k OW p AH k
kopeks	k OW p AH k s
kopel	k OW p AH l
kopelman	k OW p AH l m AH n
koper	k OW p ER
kopera	k AH p IH r AH
koperski	k AH p ER s k IY
kopetski	k AH p EH t s k IY
kopf	k AO p f
kopinski	k AH p IH n s k IY
kopischke	k AH p IH SH k IY
kopit	k AA p IH t
kopka	k OW p k AH
kopke	k OW p k
kopko	k OW p k OW
koplan	k AA p l AH n
koplin	k AA p l IH n
koplovitz	k AA p l AH v IH t s
kopp	k AA p
koppe	k AA p
koppel	k AA p AH l
koppel's	k AA p AH l z
koppell	k AA p AH l
koppelman	k AA p AH l m AH n
koppen	k AA p AH n
koppenhaver	k AA p IH n h AH v ER
kopper	k AA p ER
koppers	k AA p ER z
koppers'	k AA p ER z
koppes	k AA p s
kopple	k AA p AH l
kopplin	k AA p l IH n
kopriva	k AA p r IH v AH
koprowski	k AH p r AO f s k IY
kops	k AA p s
kopusovic	k AH p UW s AH v IH k
kopy	k AA p IY
kora	k AO r AH
koral	k AO r AH l
koran	k AO r AA n
koranda	k ER AE n d AH
koranic	k AO r AE n IH k
korb	k AO r b
korba	k AO r b AH
korbel	k AO r b AH l
korber	k AO r b ER
korbren	k AO r b r EH n
korby	k AO r b IY
korczak	k AO r CH AE k
korda	k AO r d AH
kordell	k AO r d EH l
korea	k AO r IY AH
korea(2)	k r IY AH
korea(3)	k ER r IY AH
korea's	k AO r IY AH z
korea's(2)	k r IY AH z
korea's(3)	k ER r IY AH z
koreagate	k AO r IY AH g EY t
koreagate(2)	k ER r IY AH g EY t
korean	k AO r IY AH n
korean(2)	k r IY AH n
korean(3)	k ER r IY AH n
korean's	k r IY AH n z
korean's(2)	k ER IY AH n z
koreans	k AO r IY AH n z
koreans(2)	k r IY AH n z
koreans(3)	k ER r IY AH n z
koreans'	k AO r IY AH n z
koreans'(2)	k r IY AH n z
koreans'(3)	k ER r IY AH n z
koreas	k AO r IY AH z
koreas(2)	k r IY AH z
koreas(3)	k ER r IY AH z
koreatown	k ER IY AH t AW n
korell	k AO r EH l
koren	k AO r AH n
korenek	k AO r IH n IH k
koresh	k AO r EH SH
koresh's	k AO r EH SH AH z
koret	k AO r AH t
korey	k AO r IY
korf	k AO r f
korff	k AO r f
korfhage	k AO r f h IH JH
korhonen	k AO r h AH n AH n
korinek	k AO r IH n IH k
korman	k AO r m AH n
kormos	k AO r m OW z
korn	k AO r n
kornacki	k ER n AA t s k IY
kornberg	k AO r n b ER g
kornblum	k AO r n b l AH m
kornbluth	k AO r n b l UW TH
kornegay	k AO r n IH g EY
korner	k AO r n ER
kornfeld	k AO r n f EH l d
kornhauser	k AO r n h AW z ER
kornreich	k AO r n r AY k
korns	k AO n z
korol	k AO r AO l
korologos	k AO r AA l OW g OW s
korona	k ER OW n AH
korotich	k AO r AH t IH CH
korpela	k ER p IY l AH
korpi	k AO r p IY
korry	k AO r IY
korry's	k AO r IY z
korson	k AO r s AH n
kort	k AO r t
korte	k AO r t
korten	k AO r t AH n
korth	k AO r TH
korthals	k AO r TH AH l z
kortman	k AO r t m AH n
kortum	k AO r t AH m
kortz	k AO r t s
koruna	k AO r UW n AA
korva	k AO r v AA
korver	k AO r v ER
kory	k AO r IY
koryagin	k AO r j AA g IH n
korzeniewski	k ER z IH n IY EH f s k IY
korzeniewski(2)	k AO r z AH n UW f s k IY
kos	k AA s
kosa	k OW s AA
kosak	k OW s AH k
kosakowski	k AH s AH k AO f s k IY
kosan	k OW z AH n
kosanke	k AA s AH NG k
kosanovich	k AH s AE n AH v IH CH
kosar	k OW s ER
kosberg	k AO z b ER g
kosbie	k AA z b IY
kosch	k AO SH
koscheck	k AO s CH EH k
koscheck's	k AO s CH EH k s
koscielniak	k AH s CH IY l n IY AE k
koscinski	k AH s CH IH n s k IY
kosco	k OW s k OW
kosecoff	k OW s AH k AO f
kosek	k OW s EH k
kosel	k OW s AH l
koser	k OW z ER
kosh	k AA SH
kosher	k OW SH ER
koshered	k OW SH ER d
koshering	k OW SH ER IH NG
koshers	k OW SH ER s
kosiba	k OW s IY b AH
kosier	k OW s IY ER
kosik	k OW s IH k
kosin	k OW s IH n
kosinski	k AH s IH n s k IY
koska	k OW s k AH
koskela	k AH s k IY l AH
koskey	k AA s k IY
koski	k AW s k IY
koskinen	k AA s k IH n AH n
kosko	k OW s k OW
koskotas	k AO s k OW t AH s
kosky	k AA s k IY
kosloski	k AH s l AW s k IY
koslosky	k AH s l OW s k IY
koslow	k AA s l OW
koslow's	k AA z l OW z
koslowski	k AH s l AO f s k IY
kosman	k AA s m AH n
kosmatka	k AH s m AA t k AH
kosmetsky	k AA z m EH t s k IY
kosmetsky's	k AA z m EH t s k IY z
kosmicki	k AH s m IH t s k IY
kosnovsky	k AA z n AA f s k IY
kosnovsky's	k AA z n AA f s k IY z
kosovo	k OW s OW v OW
kosowski	k AH s AO f s k IY
kosowsky	k AH s AW s k IY
koss	k AO s
kossman	k AO s m AH n
kossow	k AA s OW
kossuth	k AA s AH TH
kost	k AA s t
kosta	k OW s t AH
kostal	k AA s t AH l
kostas	k OW s t AH z
kostecki	k AH s t EH t s k IY
kostek	k AA s t EH k
kostelecky	k AH s t EH l EH t s k IY
kostelnik	k AH s t EH l n IH k
koster	k AA s t ER
kostic	k AA s t IH k
kostick	k OW s t IH k
kostka	k AA s t k AH
kostmayer	k AO s t m EY ER
kostoff	k AA s t AO f
kostrzewa	k AH s t r AH z EH w AH
kostrzewski	k AO s t ER z EH w s k IY
kosub	k OW s AH b
kosy	k OW s IY
kosyakov	k OW s j AA k AO v
kosygin	k OW s IH g IH n
kosygin(2)	k OW s IY g IH n
kot	k AA t
kotara	k OW t AA r AH
kotarski	k AH t AA r s k IY
kotas	k OW t AH z
kotch	k AA CH
kote	k OW t
kotecki	k AH t EH t s k IY
kotek	k OW t EH k
koteles	k AA t EH l EH z
koth	k AA TH
kothari	k AA TH ER IY
kothe	k OW DH
kotila	k AH t AY l AH
kotlarz	k AA t l ER z
kotler	k OW t AH l ER
kotler(2)	k AA t l ER
kotlowitz	k AA t l AH w IH t s
koto	k OW t OW
kotowski	k AH t AO f s k IY
kotsonis	k AE t s OW n AH s
kotsonis(2)	k OW t s OW n AH s
kotsonis'	k AE t s OW n AH s
kotsonis'(2)	k OW t s OW n AH s
kotsonis's	k AE t s OW n AH s IH z
kotsonis's(2)	k OW t s OW n AH s IH z
kott	k AA t
kotter	k AA t ER
kottke	k AA t k IY
kottler	k AA t l ER
kottwitz	k AA t w IH t s
kotula	k AH t UW l AH
kotz	k AA t s
kotzebue	k AA t s AH b j UW
kouba	k UW b AH
koudelka	k AW d EH l k AH
kough	k AW
kouns	k AW n z
kountz	k AW n t s
kouri	k OW UH r IY
kouril	k UW r AH l
kourou	k UW r UW
koury	k AW r IY
kouyate	k AW j AA t EY
kovac	k OW v AH k
kovacevic	k AH v AH CH EH v IH k
kovacevich	k AH v AA CH IH v IH CH
kovach	k OW v AA k
kovach's	k OW v AA k s
kovacic	k AH v AA k IH k
kovacich	k AH v AA CH IH h
kovacik	k AA v AH CH IH k
kovack	k AA v AH k
kovacs	k OW v AE k s
kovaks	k OW v AE k s
koval	k OW v AH l
kovalchik	k AH v AA l h IH k
kovalcik	k AA v AH l CH IH k
kovaleski	k AH v AH l EH s k IY
kovalik	k AH v AA l IH k
kovalsky	k AH v AA l s k IY
kovalyov	k OW v AA l j AH v
kovar	k OW v ER
kovarik	k AH v AA r IH k
kovatch	k AA v AH CH
kovats	k OW v AH t s
koven	k OW v AH n
kover	k OW v ER
koversada	k AH v ER s AA t AH
kovich	k AA v IH CH
kowabunga	k AW AH b AH NG g AH
kowal	k AW AH l
kowalchuk	k AW AA l h AH k
kowalczyk	k AW AH l CH IH k
kowaleski	k AW AH l EH s k IY
kowalewski	k AW AH l EH f s k IY
kowalik	k AW AA l IH k
kowalke	k AA w AO k
kowalkowski	k AA w AO k AO f s k IY
kowall	k AW AH l
kowalski	k AH w AA l s k IY
kowalsky	k AW AA l s k IY
kowitz	k AA w IH t s
kownacki	k AW n AA k IY
kowtow	k AW t AW
kowtow(2)	k OW t OW
koyama	k OW j AA m AH
koyo	k OY OW
koza	k OW z AH
kozak	k OW z AH k
kozakiewicz	k AH z AA k AH v IH CH
kozar	k OW z ER
kozberg	k AA z b ER g
kozel	k OW z AH l
kozemchak	k OW z EH m CH AE k
kozicki	k AH z IH t s k IY
koziel	k AA z IY l
kozik	k OW z IH k
kozikowski	k AH z IH k AO f s k IY
kozinski	k AH z IH n s k IY
koziol	k AA z IY AO l
kozlik	k AA z l IH k
kozloff	k AA z l AO f
kozloski	k AH z l AW s k IY
kozlow	k AA z l OW
kozlowski	k AH z l AO f s k IY
kozma	k OW z m AH
kozminski	k AH z m IH n s k IY
koznovsky	k AA z n AA f s k IY
koznovsky's	k AA z n AA f s k IY z
kozo	k OW z OW
kozol	k OW z AH l
kozub	k OW z AH b
kozuch	k AA z AH h
kozyrev	k AA z ER EH v
kozyrev's	k AA z ER EH v z
kpmg	k EY p IY EH m JH IH
kraai	k r AA IY
kraatz	k r AA t s
krabbe	k r AE b
krabbenhoft	k r AE b IH n h AH f t
krabill	k r AE b AH l
krach	k r AE CH
kracht	k r AE k t
krack	k r AE k
kracke	k r AE k
kraeger	k r EH g ER
kraemer	k r EH m ER
kraeutler	k r AW t l ER
krafft	k r AE f t
kraft	k r AE f t
kraft's	k r AE f t s
kraftwerk	k r AE f t w ER k
krage	k r EY JH
krager	k r EY g ER
kragh	k r AE g
kragt	k r AE g t
krah	k r AA
krahenbuhl	k r AA IH n b AH l
krahl	k r AA l
krahn	k r AE n
krain	k r EY n
krajewski	k r AY EH f s k IY
krajicek	k r AY IH CH EH k
krajina	k r AY n AH
krajina(2)	k r AY IY n AH
krajina's	k r AY n AH z
krajina's(2)	k r AY IY n AH z
kraker	k r EY k ER
krakow	k r AA k AW
krakow(2)	k r AA k AA v
krakow(3)	k r AE k AW
krakower	k r AE k OW ER
krakowski	k r AH k AO f s k IY
kral	k r AE l
kralicek	k r AA l IH CH EH k
kralik	k r AA l IH k
krall	k r AO l
kram	k r AE m
kramar	k r AE m ER
kramer	k r EY m ER
kramer's	k r EY m ER z
kramlich	k r AE m l IH k
kramm	k r AE m
kramme	k r AE m
krammer	k r AE m ER
krammes	k r AE m z
kramp	k r AE m p
krampe	k r AE m p
krandall	k r AE n d AH l
krane	k r EY n
kraner	k r EY n ER
kranich	k r AE n IH CH
krans	k r AE n z
krantz	k r AE n t s
kranz	k r AE n z
kranzler	k r AE n z l ER
krapels	k r AE p AH l z
krapf	k r AE p f
krapp	k r AE p
kraprayoon	k r AE p r AA j UW n
kras	k r AE s
krasinski	k r AH s IH n s k IY
kraska	k r AA s k AH
krasner	k r AE s n ER
krasnoff	k r AE s n AO f
krasnow	k r AA s n OW
krasnoyarsk	k r AE s n OY AA r s k
krasny	k r AE z n IY
krasowski	k r AH s AO f s k IY
krass	k r AE s
kraszewski	k r AH SH EH f s k IY
krat	k r AE t
kratky	k r AE t k IY
kratochvil	k r AE t AH k v AH l
kratos	k r AE t AO s
kratt	k r AE t
kratz	k r AE t s
kratzer	k r EY t z ER
kratzke	k r AE t s k IY
krauer	k r AW r
kraus	k r AW s
krause	k r AO s
krauser	k r AW s ER
kraushaar	k r AW SH AA r
krauskopf	k r AW s k AO f
krauss	k r AW s
krausse	k r AO s
krausz	k r AW SH
kraut	k r AW t
krauter	k r AW t ER
krauth	k r AO TH
krauthammer	k r AW t h AE m ER
krauze	k r AW z
kravchuk	k r AA v CH UH k
kravchuk's	k r AA v CH UH k z
kravetz	k r AE v IH t s
kravis	k r AE v IH s
kravitz	k r AE v IH t s
krawccykiewi	k r AW CH IH k UW IY
krawchuk	k r AO CH AH k
krawczak	k r AA v CH AE k
krawczyk	k r AA v CH IH k
krawiec	k r AA v IY k
krawitz	k r AA w IH t s
kray	k r EY
kraynak	k r EY n AH k
kreager	k r IY g ER
kreamer	k r IY m ER
krebbs	k r EH b z
krebs	k r EH b z
krebs's	k r EH b z IH z
